"id","repo_name","description","github_url","tech_stack","subject_id","display_name","primary_language","is_active","course_id","stars"
"87","IT007.Q17-Operating-Systems-UIT","","https://github.com/Naathan404/IT007.Q17-Operating-Systems-UIT","","IT007","IT007.Q17-Operating-Systems-UIT","C","True","20","0"
"88","DSA-W3-01052023","Repository cho các bài tập Cấu trúc dữ liệu và Giải thuật - Danh sách liên kết đơn của thầy Trần Doãn Thuyên","https://github.com/UIT-KTPM-2022-3-22521474/DSA-W3-01052023","","IT003","DSA-W3-01052023","C++","True","17","0"
"89","WebDev-SE347.P12-GraphQL","Repository cho phần bài tập GraphQL - môn Công nghệ Web và ứng dụng - SE347.P12 của thầy Nguyễn Tấn Toàn.","https://github.com/UIT-KTPM-2022-3-22521474/WebDev-SE347.P12-GraphQL","","SE347","WebDev-SE347.P12-GraphQL","JavaScript","True","37","0"
"90","WebDev-SE347.P12-WebSocket","Repository cho phần bài tập WebSocket - môn Công nghệ Web và ứng dụng - SE347.P12 của thầy Nguyễn Tấn Toàn.","https://github.com/UIT-KTPM-2022-3-22521474/WebDev-SE347.P12-WebSocket","","SE347","WebDev-SE347.P12-WebSocket","HTML","True","37","0"
"91","java_se330.i21","Java project SE330.I21 UIT 2018","https://github.com/danhthanh418/java_se330.i21","","SE330","java_se330.i21","","True","34","0"
"92","OrderUp-Food-Delivery-And-Ordering-Website","UIT - SE330.P21 - Final Project","https://github.com/Linh0512/OrderUp-Food-Delivery-And-Ordering-Website","","SE330","OrderUp-Food-Delivery-And-Ordering-Website","Java","True","34","1"
"93","UIT-SE330-NNLTJava","Java NetBeans GUI with minimax ","https://github.com/yang020501/UIT-SE330-NNLTJava","","SE330","UIT-SE330-NNLTJava","Java","True","34","1"
"94","IT008.O14-VisualProgramming-HealthApp","Repository cho phần ứng dụng đồ án cuối kì HealthApp - môn Lập trình trực quan - IT008.O14 của thầy Nguyễn Tấn Toàn.","https://github.com/UIT-KTPM-2022-3-22521474/IT008.O14-VisualProgramming-HealthApp","","IT008","IT008.O14-VisualProgramming-HealthApp","","True","22","0"
"95","NET-SE310.P12-Seminar_LinQ","Repository cho phần seminar LinQ môn Công nghệ .NET - SE310.P12 của thầy Nguyễn Trịnh Đông và cô Huỳnh Hồ Thị Mộng Trinh","https://github.com/UIT-KTPM-2022-3-22521474/NET-SE310.P12-Seminar_LinQ","","SE310","NET-SE310.P12-Seminar_LinQ","C#","True","42","0"
"98","TicketSellingWebsite","Final_Semester_Project_SE347","https://github.com/anhkhoatqt11/TicketSellingWebsite","","SE347","TicketSellingWebsite","TypeScript","True","37","6"
"99","TITHotelier","SE347.P11 - Công nghệ Web và Ứng dụng - UIT ","https://github.com/NguyenNhuTu09/TITHotelier","","SE347","TITHotelier","JavaScript","True","37","0"
"100","Flutter-styLLe","A project for SE346 - UIT","https://github.com/nhlinhseuit/Flutter-styLLe","","SE346","Flutter-styLLe","Dart","True","43","1"
"101","NET-SE310.P12-BaoMoi","Repository cho phần bài tập 2 - UI/UX Báo mới môn Công nghệ .NET - SE310.P12 của thầy Nguyễn Trịnh Đông và cô Huỳnh Hồ Thị Mộng Trinh","https://github.com/UIT-KTPM-2022-3-22521474/NET-SE310.P12-BaoMoi","","SE310","NET-SE310.P12-BaoMoi","HTML","True","42","0"
"102","NET-SE310.P12-ProductManagement","Repository cho phần bài tập 3 - LinQ môn Công nghệ .NET - SE310.P12 của thầy Nguyễn Trịnh Đông và cô Huỳnh Hồ Thị Mộng Trinh","https://github.com/UIT-KTPM-2022-3-22521474/NET-SE310.P12-ProductManagement","","SE310","NET-SE310.P12-ProductManagement","C#","True","42","0"
"103","Java-BaiThucHanh1","Repository cho các bài tập trong Bài thực hành 1 - môn Ngôn ngữ lập trình Java SE330.O21 của thầy Lê Thanh Trọng","https://github.com/UIT-KTPM-2022-3-22521474/Java-BaiThucHanh1","","SE330","Java-BaiThucHanh1","Java","True","34","0"
"104","SE334-Lab01","","https://github.com/tathuythanh-vn/SE334-Lab01","","SE334","SE334-Lab01","Java","True","36","0"
"105","NET-SE310.P12-LapStore-ThiTH","Repository cho phần bài thi thực hành - ASP.NET & MVC môn Công nghệ .NET - SE310.P12 của thầy Nguyễn Trịnh Đông và cô Huỳnh Hồ Thị Mộng Trinh","https://github.com/UIT-KTPM-2022-3-22521474/NET-SE310.P12-LapStore-ThiTH","","SE310","NET-SE310.P12-LapStore-ThiTH","CSS","True","42","0"
"106","lab5_se332_taiwindcss","","https://github.com/Ury479/lab5_se332_taiwindcss","","SE332","lab5_se332_taiwindcss","Vue","True","35","0"
"107","SE346_AppProject","Đây là repository đồ án của môn SE246_Lập trình trên thiết bị di động","https://github.com/thuanhuy2006/SE346_AppProject","","SE346","SE346_AppProject","Dart","True","43","0"
"108","IT003.P22-Data-Structures-Algorithms-UIT","i hate dsa","https://github.com/Naathan404/IT003.P22-Data-Structures-Algorithms-UIT","","IT003","IT003.P22-Data-Structures-Algorithms-UIT","C++","True","17","0"
"109","IT002.P26-Object-Oriented-Programming-UIT","store my documents for subject OOP at university","https://github.com/Naathan404/IT002.P26-Object-Oriented-Programming-UIT","","IT002","IT002.P26-Object-Oriented-Programming-UIT","C++","True","16","0"
"110","IT005.Q112-Introduction-to-Computer-Network-UIT","","https://github.com/Naathan404/IT005.Q112-Introduction-to-Computer-Network-UIT","","IT005","IT005.Q112-Introduction-to-Computer-Network-UIT","","True","19","0"
"111","IT004.Q18-Database-UIT","","https://github.com/Naathan404/IT004.Q18-Database-UIT","","IT004","IT004.Q18-Database-UIT","TSQL","True","18","0"
"112","IT008.Q14-Visual-Programming-UIT","","https://github.com/Naathan404/IT008.Q14-Visual-Programming-UIT","","IT008","IT008.Q14-Visual-Programming-UIT","C#","True","22","0"
"113","WebDev-SE347.P12-Bootstrap-JQuery","Repository cho phần bài tập 3 môn Công nghệ Web và ứng dụng - SE347.P12 của thầy Nguyễn Tấn Toàn và thầy Lê Văn Tuấn","https://github.com/UIT-KTPM-2022-3-22521474/WebDev-SE347.P12-Bootstrap-JQuery","","SE347","WebDev-SE347.P12-Bootstrap-JQuery","HTML","True","37","0"
"114","WebDev-SE347.P12-RestfulAPI","Repository cho phần bài tập 2 môn Công nghệ Web và ứng dụng - SE347.P12 của thầy Nguyễn Tấn Toàn và thầy Lê Văn Tuấn.","https://github.com/UIT-KTPM-2022-3-22521474/WebDev-SE347.P12-RestfulAPI","","SE347","WebDev-SE347.P12-RestfulAPI","JavaScript","True","37","0"
"115","Medicare","Repository cho phần ứng dụng đồ án cuối kì Medicare - môn Công nghệ Web và ứng dụng - SE347.P12 của thầy Nguyễn Tấn Toàn.","https://github.com/UIT-KTPM-2022-3-22521474/Medicare","","SE347","Medicare","","True","37","0"
"116","Medicare","Repository cho phần ứng dụng đồ án cuối kì Medicare - môn Công nghệ Web và ứng dụng - SE347.P12 của thầy Nguyễn Tấn Toàn.","https://github.com/UIT-KTPM-2022-3-22521474/Medicare","","SE347","Medicare","","True","37","0"
"117","Lab3-IT007","","https://github.com/HarryLee02/Lab3-IT007","","IT007","Lab3-IT007","C","True","20","0"
"119","IT007-Lab-02","","https://github.com/zerizennie/IT007-Lab-02","","IT007","IT007-Lab-02","","True","20","0"
"120","IT007_O215_Lab","This repository contain all lab","https://github.com/TCkien/IT007_O215_Lab","","IT007","IT007_O215_Lab","HTML","True","20","0"
"121","UIT-SE356.M11-PurchaseManagement","Course project - UIT | Codebase for website managing purchasing products for retailers","https://github.com/ylantt/UIT-SE356.M11-PurchaseManagement","","SE356","UIT-SE356.M11-PurchaseManagement","JavaScript","True","49","0"
"122","UIT-IT003-DSA","","https://github.com/Cao-Quang-Minh/UIT-IT003-DSA","","IT003","UIT-IT003-DSA","C++","True","17","0"
"123","IT003-DSA","Cấu trúc dữ liệu và giải thuật - Đại học Công nghệ Thông tin (UIT)","https://github.com/doxuantu110/IT003-DSA","","IT003","IT003-DSA","","True","17","1"
"124","IT003-DSA","Cấu trúc dữ liệu và giải thuật - Đại học Công nghệ Thông tin (UIT)","https://github.com/doxuantu110/IT003-DSA","","IT003","IT003-DSA","","True","17","1"
"125","IT002","OOP UIT","https://github.com/namphuong11/IT002","","IT002","IT002","C++","True","16","0"
"126","IT002","OOP UIT","https://github.com/namphuong11/IT002","","IT002","IT002","C++","True","16","0"
"128","dx9gf","Simple Directx9 Game framework for learning (SE102)","https://github.com/doqin/dx9gf","","SE102","dx9gf","C++","True","26","1"
"129","IT002-OOP-UIT","Lập trình hướng đối tượng (OOP) - UIT VNUHCM","https://github.com/normalman159/IT002-OOP-UIT","","IT002","IT002-OOP-UIT","C++","True","16","1"
"130","IT003.Q21.CTTN-W1-SortingReport","A report for an exercise in Data structure and Algorithm course at UIT","https://github.com/lftroq/IT003.Q21.CTTN-W1-SortingReport","","IT003","IT003.Q21.CTTN-W1-SortingReport","Python","True","17","1"
"131","Megaman-X3---UIT--SE102","Đồ án NMPT GAME - UIT - SE102 - Megaman X3 - HK5 ","https://github.com/txbac98/Megaman-X3---UIT--SE102","","SE102","Megaman-X3---UIT--SE102","C++","True","26","1"
"132","IT002-Object-Oriented-Programming-UIT-","","https://github.com/quangcrazymen/IT002-Object-Oriented-Programming-UIT-","","IT002","IT002-Object-Oriented-Programming-UIT-","C++","True","16","0"
"133","IT002-Object-Oriented-Programming-UIT-","","https://github.com/quangcrazymen/IT002-Object-Oriented-Programming-UIT-","","IT002","IT002-Object-Oriented-Programming-UIT-","C++","True","16","0"
"134","uit-go-se360","","https://github.com/dieuxuanhien/uit-go-se360","","SE360","uit-go-se360","TypeScript","True","1051","0"
"135","UIT-DataBase-IT004.O117-LAB","Thực Hành Cơ Sở Dữ Liệu UIT","https://github.com/Trtinssss/UIT-DataBase-IT004.O117-LAB","","IT004","UIT-DataBase-IT004.O117-LAB","TSQL","True","18","0"
"136","IT003","Nơi tập hợp deadline IT003 UIT","https://github.com/minhmap123/IT003","","IT003","IT003","C++","True","17","0"
"137","IT002.P11.CTTN","Tập hợp bài tập cho môn học Lập trình hướng đối tượng của UIT","https://github.com/minhmap123/IT002.P11.CTTN","","IT002","IT002.P11.CTTN","C++","True","16","0"
"140","IT003-Data-Structures-Algorithms","Toàn Bộ Bài Tập Thực Hành - Môn Cấu Trúc Dữ Liệu Và Giải Thuật (IT003) - Trường Đại Học Công Nghệ Thông Tin - ĐHQG.TPHCM (UIT).","https://github.com/quocthai912/IT003-Data-Structures-Algorithms","","IT003","IT003-Data-Structures-Algorithms","C++","True","17","3"
"142","UIT.IT008.Notepad","Đồ án môn học lập trình trực quan","https://github.com/hotrungnhan/UIT.IT008.Notepad","","IT008","UIT.IT008.Notepad","C#","True","22","0"
"143","it003-assignment-6","","https://github.com/hoangnnh/it003-assignment-6","","IT003","it003-assignment-6","C++","True","17","0"
"144","IT003.Q21.CTTN_LAB_REPORT_1","báo cáo cách bài thực hành của lớp IT003.Q21.CTTN","https://github.com/BetterCuckChuck/IT003.Q21.CTTN_LAB_REPORT_1","","IT003","IT003.Q21.CTTN_LAB_REPORT_1","Python","True","17","0"
"145","UIT-IT004.P11.CTTN-Database","","https://github.com/ckha1410/UIT-IT004.P11.CTTN-Database","","IT004","UIT-IT004.P11.CTTN-Database","","True","18","0"
"146","MA004-CTRR","Cấu trúc rời rạc - Đại học Công nghệ Thông tin (UIT)","https://github.com/doxuantu110/MA004-CTRR","","MA004","MA004-CTRR","","True","9","0"
"147","IT003","Tài liệu DSA của 24520557_UIT","https://github.com/h2okisme57/IT003","","IT003","IT003","C++","True","17","0"
"148","IT004_Database_Excercise_Teaching-Management","This is the code for SQL homework for the subject Database at UIT - enjoy it =)))","https://github.com/anhkiet1227/IT004_Database_Excercise_Teaching-Management","","IT004","IT004_Database_Excercise_Teaching-Management","TSQL","True","18","2"
"149","uit-eng03-healthy-breakfast","[Presentation] | The Importance of Having a Healthy Breakfast","https://github.com/uit-25730067-chithanh/uit-eng03-healthy-breakfast","","ENG03","uit-eng03-healthy-breakfast","Vue","True","14","0"
"150","UIT-SE347-WEB","Clothes E-commerce Web with Admin + User sides.","https://github.com/yang020501/UIT-SE347-WEB","","SE347","UIT-SE347-WEB","JavaScript","True","37","0"
"151","uit-limousine","A project for UIT SE214 Advanced Software Engineering","https://github.com/Huangphoux/uit-limousine","","SE214","uit-limousine","JavaScript","True","29","0"
"152","UIT-SE106-DTHT","Chuyển đổi ngôn ngữ đặc tả (formal specification) sang C# hoặc C++  ","https://github.com/yang020501/UIT-SE106-DTHT","","SE106","UIT-SE106-DTHT","C#","True","28","1"
"153","SE113.Lab3","Lab3","https://github.com/Winder510/SE113.Lab3","","SE113","SE113.Lab3","JavaScript","True","32","0"
"154","FurnitureStore","FurnitureStore for UIT.SE310.O12","https://github.com/trungkien2003ntk/FurnitureStore","","SE310","FurnitureStore","C#","True","42","0"
"155","Mobile-Assignment","Ninh Đức Quang Huy 24520688 Bài tập thực hành mobile lớp SE114.Q21","https://github.com/quanghuy-newbie/Mobile-Assignment","","SE114","Mobile-Assignment","","True","27","0"
"157","SE347_Lab","","https://github.com/Lghthien/SE347_Lab","","SE347","SE347_Lab","JavaScript","True","37","0"
"158","UIT-SE104-NMPTPM","E-Metro system application","https://github.com/yang020501/UIT-SE104-NMPTPM","","SE104","UIT-SE104-NMPTPM","C#","True","24","0"
"159","studMin","A Windows application used for high school management","https://github.com/phanxuanquang/studMin","","SE104","studMin","C#","True","24","2"
"160","se104-survey-system","A survey system for UIT SE104 class","https://github.com/thaiminh2022/se104-survey-system","","SE104","se104-survey-system","TypeScript","True","24","0"
"161","SE104.O29","Môn Nhập môn công nghệ phần mềm HK2 (2024) - UIT - VNUHCM","https://github.com/votrung654/SE104.O29","","SE104","SE104.O29","","True","24","0"
"162","Chatbot_for_admissions","Final project of SE104 (Introduction to Software Engineering) of UIT","https://github.com/imneit06/Chatbot_for_admissions","","SE104","Chatbot_for_admissions","HTML","True","24","0"
"163","SE104-QLVMB-5","Airline Ticket Management Software: Streamlining Sales and Revenue for Airlines with Windows Forms (C#)","https://github.com/nv259/SE104-QLVMB-5","","SE104","SE104-QLVMB-5","C#","True","24","2"
"164","UiT.iT012.Assembly","Assembly language","https://github.com/katharsis7769/UiT.iT012.Assembly","","IT012","UiT.iT012.Assembly","Assembly","True","21","0"
"165","UIT-Go-Backend","For SE360 year end project","https://github.com/OneKeyCoder/UIT-Go-Backend","","SE360","UIT-Go-Backend","Go","True","1051","0"
"166","MA005-XSTK","Xác suất thống kê - Đại học Công nghệ Thông tin (UIT)","https://github.com/doxuantu110/MA005-XSTK","","MA005","MA005-XSTK","","True","10","0"
"167","UIT-IT002.Q26.2","","https://github.com/hyugai/UIT-IT002.Q26.2","","IT002","UIT-IT002.Q26.2","C++","True","16","0"
"168","IT004---CSDL--UIT","Danh sách đề thi tham khảo - đáp án tham khảo của đề thi - đáp án tham khảo bài tập Lab","https://github.com/ThisIsHHanh/IT004---CSDL--UIT","","IT004","IT004---CSDL--UIT","TSQL","True","18","0"
"169","Java-QuanLyHocPhanOOP","Bài tập OOP Chương II - Quản lý học phần môn Ngôn ngữ lập trình Java - SE330.O21 của thầy Lê Thanh Trọng","https://github.com/UIT-KTPM-2022-3-22521474/Java-QuanLyHocPhanOOP","","SE330","Java-QuanLyHocPhanOOP","Java","True","34","0"
"171","IT007","UIT","https://github.com/dducktai/IT007","","IT007","IT007","C++","True","20","5"
"172","IT003","DSA - UIT","https://github.com/dducktai/IT003","","IT003","IT003","C++","True","17","2"
"173","IT003","DSA - UIT","https://github.com/dducktai/IT003","","IT003","IT003","C++","True","17","2"
"174","IT002-Object-Oriented-Programming-UIT","","https://github.com/tvyyyy/IT002-Object-Oriented-Programming-UIT","","IT002","IT002-Object-Oriented-Programming-UIT","C++","True","16","3"
"175","UIT_IT004","Database - IT004","https://github.com/anhhuyluong/UIT_IT004","","IT004","UIT_IT004","TSQL","True","18","0"
"176","code_HDH_UIT","Lab IT007","https://github.com/huenguyentran/code_HDH_UIT","","IT007","code_HDH_UIT","","True","20","0"
"178","IT007-Lab-05","","https://github.com/zerizennie/IT007-Lab-05","","IT007","IT007-Lab-05","","True","20","0"
"179","IT007-He_dieu_hanh","practice lab","https://github.com/luannd4869/IT007-He_dieu_hanh","","IT007","IT007-He_dieu_hanh","","True","20","0"
"180","IT001-Of-Duong","Lưu code của nhập môn lập trình IT001 - UIT","https://github.com/duonguwu/IT001-Of-Duong","","IT001","IT001-Of-Duong","C++","True","11","0"
"181","IT001","Nhập môn lập trình - UIT","https://github.com/truong11062002/IT001","","IT001","IT001","C++","True","11","0"
"182","UIT_IT008_Visual_Programming","","https://github.com/karasuma-2401/UIT_IT008_Visual_Programming","","IT008","UIT_IT008_Visual_Programming","C#","True","22","0"
"183","color-oop-project","A Final Project in IT002 (Object-oriented Programming) subject at UIT.","https://github.com/tannd-ds/color-oop-project","","IT002","color-oop-project","C++","True","16","0"
"184","uit.it001.snake-game","IT001 Introduction to Programming Project","https://github.com/uit-anhvuk13/uit.it001.snake-game","","IT001","uit.it001.snake-game","C++","True","11","0"
